,Cidade,latitude,longitude,altitude,maxtemp,mintemp,acumpre,nebulos,maxtemp,mintemp,acumpre,nebulos
35,Glória de Dourados,-22.418,-54.233,400,34.31397247314453,19.34749984741211,2.6654795419744914e-06,0.0011692511616274714,33.22844696044922,18.130619049072266,0.0,7.87943645264022e-05
36,Guia Lopes da Laguna,-21.458,-56.114,272,36.09263229370117,23.225317001342773,0.0,0.00019531331781763583,34.547393798828125,19.34529685974121,0.0,0.0
37,Iguatemi,-23.68,-54.561,342,34.217430114746094,20.95000457763672,0.0,0.0,33.29828643798828,16.231708526611328,0.0,0.0
38,Inocência,-19.726,-51.93,502,33.89375686645508,21.05315399169922,4.303920269012451,0.013789398595690727,32.81996154785156,19.54355239868164,1.1485296487808228,0.004470398183912039
39,Itaporã,-22.079,-54.789,390,35.27239990234375,20.003408432006836,9.59515746217221e-05,0.0003759517858270556,33.9645881652832,19.325010299682617,0.0,0.0005517855752259493
40,Itaquiraí,-23.474,-54.185,340,33.6488037109375,18.593860626220703,0.0,0.0009023392922244966,32.91886901855469,17.49631690979004,0.0,0.00023600026906933635
41,Ivinhema,-22.305,-53.815,362,34.36286163330078,20.555906295776367,0.0,0.00020107137970626354,33.12336730957031,19.062833786010742,0.0,0.0
42,Japorã,-23.891,-54.404,357,34.32591247558594,20.1506290435791,0.0,0.0,33.47029113769531,16.6202449798584,0.0,0.00022816512500867248
43,Jaraguari,-20.142,-54.399,589,32.63099670410156,20.560665130615234,0.04356013238430023,0.0025330346543341875,31.669267654418945,18.77658462524414,0.13361187279224396,0.0015833916841074824
44,Jardim,-21.48,-56.138,259,35.9068489074707,22.574613571166992,0.0,6.0196882259333506e-05,34.398414611816406,19.526657104492188,0.0,0.0
45,Jateí,-22.482,-54.303,396,34.18513870239258,18.989574432373047,0.0,0.0014339849585667253,33.18051528930664,17.582094192504883,0.0,0.0
46,Juti,-22.861,-54.603,373,34.62973403930664,20.490243911743164,0.0,0.0,33.54078674316406,17.263416290283203,0.00021842645946890116,0.0003153789439238608
47,Ladário,-19.005,-57.602,114,36.793357849121094,24.0498046875,0.2961078882217407,0.0005524262087419629,35.676143646240234,22.111404418945312,0.0,0.0
48,Laguna Carapã,-22.546,-55.15,509,34.19676208496094,19.283294677734375,0.0,0.0002245596406282857,32.95276641845703,17.604774475097656,3.0871051421854645e-05,0.0016237202798947692
49,Maracaju,-21.614,-55.168,384,34.771324157714844,19.80804443359375,0.004277480766177177,0.0005485666333697736,33.58287811279297,17.883758544921875,0.0,7.891414134064689e-05
50,Miranda,-20.241,-56.378,125,37.2960205078125,24.629314422607422,0.0,0.0,35.519630432128906,19.842315673828125,0.0,0.0
51,Mundo Novo,-23.938,-54.271,324,34.71574020385742,18.853662490844727,0.0,0.0,33.64837646484375,16.973196029663086,0.0,0.00023352036077994853
52,Naviraí,-23.065,-54.191,362,34.37794876098633,19.167848587036133,0.0,0.0003152604622300714,33.33488845825195,18.100778579711914,0.03896737098693848,0.0025441814213991165
53,Nioaque,-21.135,-55.83,200,36.94513702392578,24.527481079101562,0.007600756827741861,0.002972599118947983,35.787620544433594,19.991491317749023,2.0911681986035546e-06,0.0
54,Nova Alvorada do Sul,-21.466,-54.384,407,34.59617614746094,21.27014923095703,0.007834762334823608,0.003952225670218468,33.4797248840332,18.05564308166504,0.0,0.0008812047890387475
55,Nova Andradina,-22.233,-53.343,380,33.77156066894531,20.29926300048828,1.4455154996539932e-05,0.0007315966067835689,32.759178161621094,19.51458168029785,0.0,0.0
56,Novo Horizonte do Sul,-22.672,-53.861,320,33.88587188720703,19.368181228637695,0.0,0.00020734014105983078,32.97932434082031,19.03839874267578,0.0,0.0
57,Paranaíba,-19.677,-51.191,374,34.28390121459961,20.743860244750977,5.717132091522217,0.010312083177268505,33.94284439086914,18.553997039794922,0.009072030894458294,7.175522478064522e-05
58,Paranhos,-23.893,-55.431,429,33.90956115722656,21.185482025146484,0.0,0.0,32.82914733886719,18.04562759399414,0.0001832522393669933,0.0012558337766677141
59,Pedro Gomes,-18.101,-54.552,282,35.629817962646484,22.387407302856445,1.4898388385772705,0.0024954297114163637,34.71699523925781,20.186845779418945,0.0,0.0
60,Ponta Porã,-22.536,-55.726,655,32.879425048828125,20.462472915649414,0.0,0.0008245779317803681,31.650611877441406,18.742887496948242,1.0577638022368774e-05,0.0020569059997797012
61,Porto Murtinho,-21.699,-57.883,90,38.324974060058594,24.966693878173828,0.1913994550704956,0.003951941151171923,36.845550537109375,17.225969314575195,0.015175284817814827,0.001048511709086597
62,Ribas do Rio Pardo,-20.443,-53.759,369,35.080055236816406,20.64128303527832,0.0772724524140358,0.004841203801333904,33.88562774658203,19.015254974365234,0.024460576474666595,0.0022053371649235487
63,Rio Brilhante,-21.802,-54.546,312,35.71480178833008,20.715639114379883,0.0001279317948501557,0.0009548209491185844,33.98082733154297,17.929954528808594,7.538073987234384e-05,7.878482574597001e-05
64,Rio Negro,-19.449,-54.987,279,36.407352447509766,24.580402374267578,0.017571669071912766,0.0009498615982010961,35.779029846191406,20.899599075317383,0.002090497873723507,9.910645894706249e-05
65,Rio Verde de Mato Grosso,-18.918,-54.844,330,35.00196838378906,22.428632736206055,0.08187079429626465,0.0016587984282523394,33.18449783325195,20.68002700805664,0.8320033550262451,0.0021942323073744774
66,Rochedo,-19.953,-54.893,260,34.98937225341797,22.520153045654297,0.4966427981853485,0.0029330758843570948,35.193450927734375,19.400426864624023,0.0008292997954413295,0.0004169874591752887
67,Santa Rita do Pardo,-21.303,-52.831,360,34.37432861328125,21.789194107055664,0.0,0.0018293062457814813,33.252235412597656,19.93946075439453,0.0,0.0
68,São Gabriel do Oeste,-19.395,-54.566,658,32.520835876464844,21.1287841796875,0.03948137164115906,0.000914589618332684,31.370344161987305,18.869741439819336,0.30122190713882446,0.0018463965971022844
69,Selvíria,-20.367,-51.419,357,33.911468505859375,21.615854263305664,4.578787775244564e-05,0.0,33.95342254638672,19.47626304626465,0.0,0.0
70,Sete Quedas,-23.97,-55.036,407,33.49402618408203,18.956012725830078,0.0,0.0,32.55781555175781,16.3563232421875,0.00014412839664146304,0.00025864021154120564
71,Sidrolândia,-20.932,-54.961,484,34.509925842285156,24.542354583740234,0.07704206556081772,0.004764066077768803,33.438140869140625,18.229907989501953,0.00014486967120319605,0.004220398608595133
72,Sonora,-17.577,-54.758,442,33.40654373168945,22.383502960205078,3.6443276405334473,0.005112714134156704,33.209938049316406,20.36737632751465,0.5150408148765564,0.0014473391929641366
73,Tacuru,-23.633,-55.016,372,34.059532165527344,21.171722412109375,0.0,0.0,32.582862854003906,16.315523147583008,0.006063409149646759,0.0009928095387294888
74,Taquarussu,-22.488,-53.351,276,34.35981750488281,20.238693237304688,0.0,0.0,33.133270263671875,19.753324508666992,0.0,0.0
75,Terenos,-20.442,-54.86,437,34.96223449707031,24.24372673034668,0.10494892299175262,0.00226140976883471,34.42265319824219,19.82843780517578,0.000717013084795326,0.0018174623837694526
76,Três Lagoas,-20.751,-51.678,319,34.78261184692383,21.00948143005371,0.13576297461986542,0.0014831420267000794,34.16978073120117,20.004240036010742,0.0,0.00018630102567840368
77,Vicentina,-22.409,-54.436,368,34.843467712402344,20.826459884643555,1.7341808415949345e-06,0.00023596394748892635,33.510658264160156,19.700153350830078,0.000604803382884711,0.0019544479437172413
